command	true label	ontology label	ontology label score	ontology unmapped label	ontology raw label	ontology raw label score	ontology raw unmapped label	recognized label	additional labels	ontology raw command	ontology command
выключи свет	Lamp	Lamp*	1.0	chandelier1	Lamp*	1	chandelier1	HumiditySensor	on	свет	свет
выключи свет в ванной	Lamp	Lamp*	1.0	chandelier1	Lamp*	1	chandelier1	HumiditySensor	on	свет	свет
включи электричество в спальне	Lamp	AirConditioning	0	AirConditioning	-	0	-	HumiditySensor	on		
меняй каждый день фонарик на время	Lamp	AirConditioning	0	AirConditioning	-	0	-	AudioSystem	on		
ставь каждый день будильник на время	AlarmClock	AlarmClock*	1.0	AlarmClock	AlarmClock*	1	AlarmClock	CurtainRelay	on	будильник	будильник
ставь каждый раз будильник на время	AlarmClock	AlarmClock*	1.0	AlarmClock	AlarmClock*	1	AlarmClock	CurtainRelay	on	будильник	будильник
поменяй каждый вечер будильник на время	AlarmClock	AlarmClock*	1.0	AlarmClock	AlarmClock*	1	AlarmClock	SmartCar	on	будильник	будильник
поставь на завтра будильник на время часов в качестве мелодии используй шум дождя с постепенным увеличением громкости в течении получаса	AlarmClock	AlarmClock*	1.0	AlarmClock	AlarmClock*	1	AlarmClock	AudioSystem	on	будильник	будильник
ставь каждый день будильник на время	AlarmClock	AlarmClock*	1.0	AlarmClock	AlarmClock*	1	AlarmClock	CurtainRelay	on	будильник	будильник
сделай льда	SmartFridge	AirConditioning	0	AirConditioning	-	0	-	HumiditySensor	on		
включи в морозилке быструю заморозку на число минут	SmartFridge	AirConditioning	0	AirConditioning	SmartFridge*	1	SmartFridge	HumiditySensor	on	морозилка	
проверь наличие еды в холодильнике	SmartFridge	AirConditioning	0	AirConditioning	SmartFridge*	1	SmartFridge	SmartElectricityMeter	on	холодильник	
установи температуру в холодильнике на плюс число а в морозилке на минус число	SmartFridge	SmartFridge*	1.0	SmartFridge	SmartFridge*	2	SmartFridge	HumiditySensor	on	холодильник морозилка	морозилка
делай больше льда	SmartFridge	AirConditioning	0	AirConditioning	-	0	-	HumiditySensor	on		
