HeaterController	0:9:HeaterController.COMMAND,11:21:HeaterController.DeviceParameter,26:27:HeaterController.DeviceParameterValue,29:35:HeaterController.DeviceParameterValue	установить температуру на 23 градуса
WaterTapRelay	0:5:WaterTapRelay.COMMAND,7:10:WaterTapRelay.CommandFeature	включи воду
WaterTapRelay	0:0:WaterTapRelay.Actor,2:8:WaterTapRelay.Action,10:16:WaterTapRelay.Action,18:23:WaterTapRelay.CommandFeature	я пытаюсь принять ванную
CurtainsRelay	0:7:CurtainsRelay.COMMAND,9:17:CurtainsRelay.CommandFeature,32:36:CurtainsRelay.CommandFeature,24:30:CurtainsRelay.IntensityQuantifier	откроешь занавески если слишком темно
WindowRelay	0:9:WindowRelay.COMMAND,11:15:WindowRelay.LOCCurrent,22:22:WindowRelay.Actor,24:27:WindowRelay.Action,31:37:WindowRelay.LOC	проветрите здесь пока я буду в комнате
CurtainsRelay	21:26:CurtainsRelay.COMMAND,28:32:CurtainsRelay.CommandFeature,8:12:CurtainsRelay.LOC	если за окном солнце открой шторы
CoffeeMachine	0:7:CoffeeMachine.COMMAND,9:12:CoffeeMachine.CommandFeature	подогрей кофе завтра к полуночи
Lamp	0:6:Lamp.COMMAND,8:11:Lamp.CommandFeature,19:19:Lamp.Actor,21:26:Lamp.Action,30:36:Lamp.LOC	включай свет когда я захожу в спальню
SmartElectricityMeter	0:7:SmartElectricityMeter.COMMAND,9:12:SmartElectricityMeter.CommandFeature,20:20:SmartElectricityMeter.Actor,22:26:SmartElectricityMeter.Action,31:37:SmartElectricityMeter.LOC	выключай свет когда я выйду из комнаты
SmartIron	29:35:SmartIron.COMMAND,5:8:SmartIron.DEVICE,18:24:SmartIron.DeviceState	если утюг всё еще включен то выключи его
WaterTapRelay	0:4:WaterTapRelay.COMMAND,6:10:WaterTapRelay.CommandFeature,14:19:WaterTapRelay.CommandFeature	помой ягоды и огурцы
SmartOven	0:8:SmartOven.COMMAND,26:30:SmartOven.CommandFeature,10:12:SmartOven.Actor	приготовь мне какиенибудь овощи
Phone	0:5:Phone.COMMAND,7:16:Phone.CommandFeature,18:30:Phone.CommandFeature,35:43:Phone.DEVICE	выведи статистику прослушиваний на мобильник
SmartKettle	16:24:SmartKettle.COMMAND,26:28:SmartKettle.CommandFeature,6:6:SmartKettle.Actor,8:14:SmartKettle.Action	когда я вернусь приготовь чай
SmartBreadMaker	0:8:SmartBreadMaker.COMMAND,10:13:SmartBreadMaker.CommandFeature,17:21:SmartBreadMaker.Actor,23:29:SmartBreadMaker.Action	приготовь хлеб к моему приходу
AudioSystem	0:7:AudioSystem.COMMAND,9:13:AudioSystem.CommandFeature	добавляй песню в мою коллекцию
TemperatureSensor	0:4:TemperatureSensor.ParameterValueQuestion,14:19:TemperatureSensor.CommandFeature	какая сегодня погода
TVSet	0:10:TVSet.COMMAND,35:40:TVSet.CommandFeature,25:33:TVSet.Action	подготовить обстановку к просмотру фильма
WindowRelay	22:27:WindowRelay.COMMAND,11:17:WindowRelay.CommandFeature,29:32:WindowRelay.CommandFeature	если будет холодно то закрой окно
WaterTapRelay	0:8:WaterTapRelay.Quantifier,10:17:WaterTapRelay.COMMAND,19:22:WaterTapRelay.CommandFeature	полностью перекрой воду
CurtainsRelay	0:4:CurtainsRelay.ParameterValueQuestion,20:28:CurtainsRelay.CommandFeature,30:34:CurtainsRelay.CommandFeature	когда последний раз открывали шторы
TemperatureSensor	0:2:TemperatureSensor.LOC,4:10:TemperatureSensor.IntensityQuantifier,12:20:TemperatureSensor.CommandFeature	тут слишком прохладно
