,type,text
0,Request,"[-0.17302965 -0.2689884   0.14613123 -0.14093325 -0.16078712 -0.04689578
  0.08986169 -0.19694369  0.06985857 -0.34633598  0.17373013 -0.17779958
 -0.2074821  -0.11094207 -0.18002385 -0.03383075 -0.07059287 -0.10316047
  0.272233    0.0641581   0.0067519  -0.08091699  0.27596998 -0.05283492
  0.138366   -0.20375626  0.05548503 -0.32426134  0.0135518   0.01704639
  0.07650461  0.07815226  0.01849932  0.00662156  0.21948315  0.01581143
 -0.16037267  0.0741139  -0.17734905 -0.20384908 -0.16169775  0.12758274
 -0.01579912  0.12128263  0.11349001  0.20128268 -0.08253577 -0.04503801
  0.05752992  0.10241366  0.02859187 -0.17286575 -0.00358509  0.12607406
 -0.06491745  0.01140741 -0.06706684  0.0517368   0.02448188  0.23781991
  0.06912763 -0.09016135  0.13180192 -0.07960447  0.282605   -0.07779937
  0.02115732 -0.02299875  0.23319888 -0.31331274 -0.10916831  0.04335859
  0.14552887 -0.2618319   0.18444549  0.18263169 -0.06620739  0.02904662
  0.23889029  0.09508974  0.14224075 -0.39482     0.24817663 -0.06201019
  0.05250226 -0.02140577 -0.07238889 -0.10876357  0.20356347  0.01594199
 -0.1698031  -0.01727014  0.14102066  0.06123355 -0.16170354  0.06383727
 -0.0548337   0.13835461  0.0351982   0.13182855]"
1,Request,"[-0.12445585 -0.04523847  0.09050967 -0.12547842 -0.26774225 -0.12998904
 -0.00084866 -0.10049169 -0.01006196 -0.03981607  0.06198255 -0.01391419
 -0.16527668 -0.02120784 -0.08010589  0.03630485 -0.05452909  0.02746938
  0.00827018  0.06293402  0.09695935  0.05638777  0.13334134  0.05975975
 -0.18639328 -0.27097863  0.02693345 -0.11063399  0.01415662 -0.08376427
  0.19453911  0.17647144  0.06703708  0.02242868  0.04673795  0.04906293
  0.11722596  0.20248082  0.00375779 -0.12537292 -0.18369688 -0.078199
 -0.0824548   0.06374973  0.21334657  0.06239729 -0.08743794 -0.08724754
  0.06445251  0.04422148 -0.1117575  -0.11198703  0.01804689 -0.01316903
 -0.10043482  0.12040301 -0.01007661  0.03357447 -0.06029047  0.10938879
 -0.10104135  0.07288237  0.17030254  0.10482419  0.15380526 -0.01106176
 -0.0347026  -0.01093853  0.14659482 -0.24790952 -0.10205982  0.01651142
  0.07391381 -0.1141787   0.19288114  0.0339235   0.15778029 -0.08269075
  0.2880756   0.04436238  0.17744617 -0.15479954  0.00029127  0.12401243
  0.08241113  0.02563528 -0.0644752   0.1179323   0.15879998  0.07254925
 -0.11908661  0.09443269  0.09281436 -0.06633511 -0.14727828  0.05880883
  0.06899584  0.00157948 -0.10513785 -0.00864839]"
2,Request,"[-1.77460849e-01  1.99550274e-03 -2.64199078e-03 -2.29717806e-01
 -3.27285789e-02  1.06902398e-01  1.26601011e-02 -3.74624878e-02
 -2.64685005e-02 -1.61342740e-01  1.51459649e-01 -1.33512169e-02
 -6.55214712e-02 -1.39365522e-02 -2.23380968e-01 -2.06978679e-01
 -6.91990554e-02  1.45711243e-01  1.21553577e-01 -1.60577483e-02
  1.86526731e-01  6.18360527e-02  2.12138593e-01  6.43875822e-02
 -1.15797594e-02 -6.56495243e-03  1.61732957e-02 -1.38732731e-01
  1.51352987e-01  7.77093768e-02 -2.62772053e-04  7.61688640e-03
  1.40584903e-02 -1.92235842e-01  1.77448764e-01  8.81800130e-02
  1.65175676e-01  1.00509962e-02  2.10650116e-02 -1.68224633e-01
  8.75276625e-02  4.03268300e-02  2.96078133e-03  1.70252204e-01
  2.58336425e-01  4.99009937e-02 -8.32096264e-02 -2.30249405e-01
 -7.20841810e-02  8.62548575e-02  4.91493642e-02 -1.28724977e-01
  1.93356723e-02 -7.91963488e-02 -2.20732298e-02  1.58948034e-01
  6.50887713e-02  3.86041664e-02 -7.71344230e-02 -2.02696268e-02
  2.29292393e-01 -7.08856061e-02  1.78383112e-01 -1.55385450e-01
  2.51894027e-01 -1.75549090e-01  1.29470810e-01 -2.32139025e-02
  9.50101614e-02 -6.96756318e-02 -1.09586321e-01  1.64478004e-01
  6.11062758e-02 -1.21658266e-01  1.49162009e-01 -1.76957533e-01
 -4.76745106e-02 -9.93998349e-02  2.45611310e-01 -5.22988848e-02
  2.65090615e-01 -1.18793972e-01 -1.06083415e-02 -1.16167359e-01
 -9.18658450e-02 -9.34304763e-03 -8.12212750e-02  9.51163471e-02
  7.37440363e-02 -1.90264136e-02  8.23854506e-02 -8.58082250e-02
 -2.92601902e-02 -6.41570240e-02  2.26725414e-01 -3.76778692e-02
  2.70001680e-01  9.89509448e-02  9.39243436e-02 -1.85984656e-01]"
3,Request,"[-0.13646248  0.1873487   0.04105033 -0.22223122  0.1737298  -0.16822238
  0.03780308  0.12905121 -0.01413268 -0.17470731  0.08326589  0.07333489
  0.11453726  0.03915062  0.00993673 -0.06944871 -0.1732527   0.02414154
  0.19986926 -0.00999988  0.04674057  0.04194583 -0.00753707  0.26174432
  0.18428983 -0.17028339 -0.13976009 -0.00423998  0.2395612  -0.28116715
 -0.25104707  0.11643112  0.03463499  0.11596624 -0.14419237 -0.12445676
  0.17238042  0.06222718 -0.21900757 -0.04376324 -0.18842325  0.2488076
 -0.04453057 -0.10312728 -0.00755156 -0.10483439 -0.0464548   0.1071934
  0.17434344  0.0618351  -0.03240784  0.12133308 -0.00521214 -0.1383551
 -0.11122024  0.05289057  0.0647843  -0.06377204  0.15103932 -0.07452691
 -0.0057877   0.03894626 -0.005368   -0.0397081  -0.13983968 -0.05400574
  0.12954699  0.01991812 -0.01579095  0.14576447  0.00406171 -0.04431747
  0.09760441 -0.01535266  0.20484762  0.17363366 -0.01837527  0.12773535
 -0.01752311  0.09252021 -0.08660187 -0.0258985  -0.0139914   0.00943012
 -0.14120094  0.00787692  0.04094339 -0.00058658  0.13167278 -0.03716381
 -0.04779266  0.09251449  0.11929026  0.09567623 -0.10570417  0.16370425
  0.03801818  0.04704084 -0.4207735  -0.04216314]"
4,Command,"[ 0.00769931  0.03602998  0.0272344  -0.09986355 -0.09402263 -0.1261468
  0.1716091  -0.03567437 -0.01675596  0.23292874  0.01548073 -0.01448082
 -0.06441434  0.02408728 -0.10751351 -0.05495748 -0.0493119   0.20740734
  0.00265186 -0.02622535 -0.01057257  0.2745609   0.13050397 -0.10747892
  0.03527994 -0.15450461 -0.05031053  0.09069883 -0.02845826 -0.13096032
  0.19592929  0.05387748 -0.02366596  0.04200634  0.0758977  -0.05217766
  0.21587808  0.0112585  -0.05821358 -0.03767905 -0.11574281  0.17594562
  0.00855346  0.00808968  0.21997696 -0.09930307 -0.00881505  0.01692436
  0.10132901 -0.0844821  -0.25269502  0.04774455  0.1369606  -0.00259349
 -0.08674416  0.06940073 -0.08128823  0.13636559  0.15240766  0.00094301
 -0.04665134  0.01683059  0.09500313  0.09094258  0.13861261 -0.2552377
 -0.02408408  0.1319089   0.00136304 -0.06503963 -0.21276075 -0.08838324
 -0.02927749 -0.07996905  0.07761315 -0.16656782 -0.07910775 -0.09606542
  0.07657041  0.11083571  0.17048799 -0.08249326 -0.00217768 -0.07148012
  0.00839589  0.01980342 -0.13187934  0.2554045   0.08544177 -0.11922882
  0.02087268  0.16741262  0.06627057 -0.01847017  0.00314969 -0.01890556
  0.07095503  0.14884305  0.07053097 -0.08374739]"
5,Command,"[ 0.02568387  0.11814668  0.10496433  0.2034896  -0.10702489 -0.13669041
  0.27077395  0.0218155  -0.06898378 -0.00217871 -0.06702716  0.01082161
  0.14053886 -0.09628554 -0.03971088 -0.22897607 -0.11214717 -0.09651856
  0.03171477 -0.19093506  0.30420154 -0.00389234  0.24745423  0.13982742
 -0.08591326 -0.06747717  0.11912187 -0.0813062  -0.04921756 -0.06729159
  0.19799256  0.21935035  0.21930486  0.01099946  0.10272408 -0.07917809
  0.02946644  0.33121252  0.03884625 -0.12864165 -0.04509296  0.06902841
 -0.08948351  0.13130921  0.13077134  0.12882735 -0.02094155 -0.19148955
  0.17311965  0.08382672 -0.0097256  -0.24655627  0.11173458  0.16209233
 -0.23483959 -0.03063732  0.03886055  0.01120413 -0.10486334 -0.16564147
  0.01026051 -0.08402435 -0.03284782 -0.00695084  0.20244874 -0.17825617
 -0.09703028  0.09259567  0.3971189  -0.2789883  -0.05221686  0.07866727
  0.1342671   0.0505825   0.08437275  0.06689752  0.03598372 -0.05016417
  0.22887975  0.09323698 -0.02209383 -0.27413008  0.03740177  0.02851634
 -0.11167825 -0.04533218 -0.05491835  0.24820992  0.1248239  -0.0432515
  0.00253518  0.14692307  0.025728   -0.10731745 -0.04295663 -0.24661416
  0.09807955 -0.06548909  0.12090881  0.1313793 ]"
6,Command,"[-0.01202772  0.01891453  0.07285991  0.06074018 -0.12769665 -0.02851794
  0.04120177  0.01499671  0.01880275 -0.34661224 -0.03679654  0.00196272
 -0.14280613 -0.08266399 -0.1110623  -0.1898651  -0.08930284 -0.03688394
  0.01347264  0.06552925  0.06639388 -0.06130911 -0.01832412  0.09774536
  0.08043968  0.09019154 -0.06155777 -0.01747605  0.05695492 -0.20694003
  0.01617346  0.01623913  0.1218488   0.13149798  0.12483831 -0.04562492
 -0.10428458  0.10808375  0.05078759 -0.03384092 -0.19473888  0.0427602
 -0.15841444  0.02652288  0.05542871  0.10966275 -0.04912459 -0.072625
  0.1310699  -0.01427994 -0.1393491  -0.15466715  0.02944956  0.03802653
  0.0937082   0.02868592  0.17391701  0.02727251  0.09808975  0.0007975
  0.02520327  0.1656404   0.09204786  0.03922627  0.08234014 -0.16945107
 -0.01619894  0.09080355  0.30449232 -0.12336141 -0.18517563  0.04713404
  0.18555549  0.05012655  0.08585589  0.0166227  -0.02907952  0.0208646
  0.24844699 -0.013831    0.06000187 -0.166464    0.03311203  0.13505216
  0.1006451   0.13228862 -0.05551511  0.0773689   0.11485671  0.04442852
 -0.15353712  0.154091    0.0366049   0.03291457 -0.16537032 -0.01197431
  0.14607987  0.01731075 -0.04012088 -0.00450217]"
7,Request,"[-0.19234766  0.00144595  0.02637697 -0.24746887 -0.01160036  0.10074434
  0.04286961 -0.05295815 -0.03133205 -0.18152921  0.17067601 -0.03685296
 -0.03012432 -0.00119074 -0.24745081 -0.18471818 -0.03303666  0.20064585
  0.17798285 -0.04147219  0.20255058  0.03241589  0.19222794  0.08570733
 -0.0470068  -0.01517549 -0.01802538 -0.16140026  0.16068242  0.0928371
  0.00237718  0.02846569  0.03507594 -0.24076597  0.1842492   0.11544773
  0.20688675 -0.02876661  0.04655942 -0.15596971  0.10092076  0.01073285
 -0.04771696  0.14545071  0.24450718  0.02146172 -0.10418147 -0.24310267
 -0.05714918  0.11110997  0.08651793 -0.11241281  0.04019397 -0.13154134
 -0.04027883  0.17120631  0.05301374 -0.0009355  -0.09256569 -0.04160043
  0.2121687  -0.0487772   0.14579703 -0.16431133  0.2710028  -0.20562138
  0.15554158  0.00609589  0.02665575 -0.04016611 -0.07292058  0.11753064
  0.05796231 -0.12112913  0.22083412 -0.24197264 -0.06015417 -0.10073986
  0.22183669 -0.04992091  0.33940378 -0.06044154  0.00127621 -0.16492195
 -0.06544328  0.03048025 -0.06575281  0.11397191  0.05757052  0.03305679
  0.08522313 -0.05971153 -0.06909744 -0.04041674  0.2398427  -0.07813478
  0.32440403  0.08010036  0.05548173 -0.24372208]"
8,Command,"[ 5.79037629e-02  1.06897317e-01  1.00319646e-01  9.36886892e-02
 -9.54863206e-02 -5.07086925e-02  2.37056818e-02  1.37068376e-01
 -7.02989623e-02 -1.22431599e-01  1.36942193e-02  1.25859991e-01
  8.57176166e-03 -1.76219895e-01 -1.45901248e-01 -1.56632677e-01
 -5.23688681e-02 -4.89602536e-02  4.20038141e-02 -1.27411351e-01
  1.60798535e-01  1.75527140e-01  1.26295492e-01 -6.32579625e-03
 -1.01149209e-01 -5.04017323e-02 -4.84855175e-02 -1.60902217e-02
  8.92707184e-02 -1.43541604e-01  1.16442800e-01  2.56117284e-01
  1.63869694e-01  1.04697220e-01  4.40572090e-02 -1.46545559e-01
  7.23029301e-02  1.68269381e-01 -2.05279198e-02 -8.64321366e-02
 -1.40841067e-01  1.06303491e-01 -1.75883055e-01 -9.25088942e-04
  1.44221917e-01  1.87198129e-02 -9.34874788e-02 -2.69258767e-02
  1.59328226e-02  1.18383743e-01 -8.68987069e-02 -1.61798194e-01
  9.79506075e-02  1.17885768e-01 -2.10989565e-02  1.18841827e-01
  1.51055053e-01  7.55792707e-02 -3.16482298e-02  2.13819668e-02
 -5.56996278e-02  1.36460781e-01 -8.80002007e-02  8.95593464e-02
  2.01935068e-01 -8.18875059e-02 -8.72988775e-02  1.68629289e-01
  3.66099983e-01 -3.18929732e-01  1.66030079e-02  9.67477337e-02
  1.55055106e-01  1.17024839e-01  1.19683765e-01  1.68769192e-02
  7.80008510e-02 -4.56102081e-02  2.76361316e-01  9.63220671e-02
  5.17724417e-02 -9.05579925e-02  9.62888673e-02  1.56355456e-01
  6.08020276e-02  5.53342141e-02 -8.81518722e-02  2.18653038e-01
  3.27688634e-01  2.79134065e-02 -9.45124030e-02  1.19128503e-01
 -1.41759709e-04  2.07819659e-02 -2.00963810e-01 -3.87335867e-02
  2.38552690e-01  6.56490549e-02 -3.19225676e-02  1.30566165e-01]"
9,Command,"[ 0.10314222 -0.00610518  0.00456405 -0.17429626  0.04321155 -0.04856385
  0.17658758  0.25952658 -0.2669037   0.17898208  0.3512354   0.00877861
  0.2929501  -0.04387285 -0.16235915 -0.16368835 -0.0814897  -0.02036446
  0.08023565 -0.17161119  0.00780571  0.06278521  0.18822268  0.14738534
  0.15874672  0.03104819 -0.18649691  0.21351144  0.08257398 -0.10732817
 -0.19642214  0.59569174  0.0235854   0.03224695 -0.14765385 -0.19567743
  0.04029664  0.19181031 -0.13179573  0.02189361 -0.39134052  0.19798762
 -0.23042348  0.06695782  0.08391071 -0.21224985  0.07306007  0.16212526
 -0.1492679   0.11154394 -0.25527543  0.02711233  0.29070795 -0.16228165
 -0.02902003  0.16549526  0.23954694 -0.28858307  0.03167643  0.0020569
 -0.21811122  0.0645325  -0.04035437  0.02332874 -0.16710167 -0.19828898
 -0.29708898  0.08124722  0.43232065 -0.1939447  -0.274392   -0.14121133
  0.1363643   0.01715193  0.01052907 -0.18414268 -0.07078907  0.00083745
 -0.24247006 -0.04627773  0.06828139 -0.34338385  0.29033607  0.00342278
 -0.18639092  0.12033753 -0.1506877   0.25673097  0.00820221 -0.45909303
  0.06987128  0.08877024 -0.10516871  0.35867554  0.07278477 -0.147089
 -0.01447142  0.03574076  0.09484289 -0.08823086]"
